id,loan_id,due_date,paid_date,expected_amount,paid_amount,payment_status,days_overdue
36,2,2024-06-01,2024-06-01,238952.92,238952.92,paid,0
37,2,2024-06-08,2024-06-08,238952.92,238952.92,paid,0
38,2,2024-06-15,2024-06-15,238952.92,238952.92,paid,0
39,2,2024-06-22,2024-06-22,238952.92,238952.92,paid,0
40,2,2024-06-29,2024-06-29,238952.92,238952.92,paid,0
41,2,2024-07-06,2024-07-06,238952.92,238952.92,paid,0
42,2,2024-07-13,2024-07-13,238952.92,238952.92,paid,0
43,2,2024-07-20,2024-07-20,238952.92,238952.92,paid,0
44,2,2024-07-27,2024-07-27,238952.92,238952.92,paid,0
45,3,2025-01-10,2025-01-10,167961.79,167961.79,paid,0
46,3,2025-01-17,2025-01-17,167961.79,167961.79,paid,0
47,3,2025-01-24,2025-01-24,167961.79,167961.79,paid,0
48,3,2025-01-31,2025-01-31,167961.79,167961.79,paid,0
49,3,2025-02-07,2025-02-07,167961.79,167961.79,paid,0
50,3,2025-02-14,2025-02-14,167961.79,167961.79,paid,0
51,3,2025-02-21,2025-02-21,167961.79,167961.79,paid,0
52,3,2025-02-28,2025-03-03,167961.79,167961.79,paid,3
53,3,2025-03-07,2025-03-07,167961.79,167961.79,paid,0
54,3,2025-03-14,2025-03-14,167961.79,167961.79,paid,0
55,3,2025-03-21,2025-03-21,167961.79,167961.79,paid,0
56,3,2025-03-28,2025-03-31,167961.79,167961.79,paid,3
57,3,2025-04-04,2025-04-04,167961.79,167961.79,paid,0
58,3,2025-04-11,2025-04-11,167961.79,167961.79,paid,0
59,3,2025-04-18,2025-04-18,167961.79,167961.79,paid,0
60,3,2025-04-25,2025-04-25,167961.79,167961.79,paid,0
61,3,2025-05-02,2025-05-02,167961.79,167961.79,paid,0
62,3,2025-05-09,2025-05-09,167961.79,167961.79,paid,0
63,3,2025-05-16,2025-05-16,167961.79,167961.79,paid,0
64,3,2025-05-23,2025-05-23,167961.79,167961.79,paid,0
65,3,2025-05-30,2025-05-30,167961.79,167961.79,paid,0
66,3,2025-06-06,2025-06-06,167961.79,167961.79,paid,0
67,3,2025-06-13,2025-06-13,167961.79,167961.79,paid,0
68,3,2025-06-20,2025-06-20,167961.79,167961.79,paid,0
69,4,2024-02-12,2024-02-12,289802.62,289802.62,paid,0
70,4,2024-02-19,2024-02-19,289802.62,289802.62,paid,0
71,4,2024-02-26,2024-02-26,289802.62,289802.62,paid,0
72,4,2024-03-04,2024-03-04,289802.62,289802.62,paid,0
73,4,2024-03-11,2024-03-11,289802.62,289802.62,paid,0
74,4,2024-03-18,2024-03-18,289802.62,289802.62,paid,0
75,4,2024-03-25,2024-03-25,289802.62,289802.62,paid,0
76,4,2024-04-01,2024-04-01,289802.62,289802.62,paid,0
77,4,2024-04-08,2024-04-08,289802.62,289802.62,paid,0
78,4,2024-04-15,2024-04-15,289802.62,289802.62,paid,0
79,4,2024-04-22,2024-04-22,289802.62,289802.62,paid,0
80,4,2024-04-29,2024-04-29,289802.62,289802.62,paid,0
81,4,2024-05-06,2024-05-07,289802.62,289802.62,paid,1
82,4,2024-05-13,2024-05-13,289802.62,289802.62,paid,0
83,4,2024-05-20,2024-05-20,289802.62,289802.62,paid,0
84,4,2024-05-27,2024-05-27,289802.62,289802.62,paid,0
85,5,2025-10-28,2025-10-28,437653.06,437653.06,paid,0
86,5,2025-11-04,2025-11-04,437653.06,437653.06,paid,0
87,5,2025-11-11,2025-11-11,437653.06,437653.06,paid,0
88,5,2025-11-18,2025-11-18,437653.06,437653.06,paid,0
89,6,2024-06-12,2024-06-12,415011.94,415011.94,paid,0
90,6,2024-06-19,2024-06-19,415011.94,415011.94,paid,0
91,6,2024-06-26,2024-06-26,415011.94,415011.94,paid,0
92,6,2024-07-03,2024-07-03,415011.94,415011.94,paid,0
93,6,2024-07-10,2024-07-10,415011.94,415011.94,paid,0
94,6,2024-07-17,2024-07-18,415011.94,415011.94,paid,1
95,6,2024-07-24,2024-07-24,415011.94,415011.94,paid,0
96,6,2024-07-31,2024-07-31,415011.94,415011.94,paid,0
97,6,2024-08-07,2024-08-07,415011.94,415011.94,paid,0
98,6,2024-08-14,2024-08-14,415011.94,415011.94,paid,0
99,6,2024-08-21,2024-08-21,415011.94,415011.94,paid,0
100,6,2024-08-28,2024-08-28,415011.94,415011.94,paid,0
101,6,2024-09-04,2024-09-04,415011.94,415011.94,paid,0
102,6,2024-09-11,2024-09-11,415011.94,415011.94,paid,0
103,6,2024-09-18,2024-09-18,415011.94,415011.94,paid,0
104,6,2024-09-25,2024-09-25,415011.94,415011.94,paid,0
105,7,2024-05-07,2024-05-07,444048.05,444048.05,paid,0
106,7,2024-05-14,2024-05-14,444048.05,444048.05,paid,0
107,7,2024-05-21,2024-05-21,444048.05,444048.05,paid,0
108,7,2024-05-28,2024-05-28,444048.05,444048.05,paid,0
109,7,2024-06-04,2024-06-04,444048.05,444048.05,paid,0
110,7,2024-06-11,2024-06-11,444048.05,444048.05,paid,0
111,7,2024-06-18,2024-06-18,444048.05,444048.05,paid,0
112,7,2024-06-25,2024-06-25,444048.05,444048.05,paid,0
113,7,2024-07-02,2024-07-02,444048.05,444048.05,paid,0
114,7,2024-07-09,2024-07-09,444048.05,444048.05,paid,0
115,7,2024-07-16,2024-07-18,444048.05,444048.05,paid,2
116,7,2024-07-23,2024-07-23,444048.05,444048.05,paid,0
117,7,2024-07-30,2024-07-30,444048.05,444048.05,paid,0
118,7,2024-08-06,2024-08-06,444048.05,444048.05,paid,0
119,7,2024-08-13,2024-08-13,444048.05,444048.05,paid,0
120,7,2024-08-20,2024-08-20,444048.05,444048.05,paid,0
121,7,2024-08-27,2024-08-27,444048.05,444048.05,paid,0
122,7,2024-09-03,2024-09-03,444048.05,444048.05,paid,0
123,7,2024-09-10,2024-09-10,444048.05,444048.05,paid,0
124,7,2024-09-17,2024-09-17,444048.05,444048.05,paid,0
125,8,2024-10-18,2024-10-18,302838.08,302838.08,paid,0
126,8,2024-10-25,2024-10-25,302838.08,302838.08,paid,0
127,8,2024-11-01,2024-11-01,302838.08,302838.08,paid,0
128,8,2024-11-08,2024-11-08,302838.08,302838.08,paid,0
129,8,2024-11-15,2024-11-15,302838.08,302838.08,paid,0
130,8,2024-11-22,2024-11-22,302838.08,302838.08,paid,0
131,8,2024-11-29,2024-11-29,302838.08,302838.08,paid,0
132,8,2024-12-06,2024-12-07,302838.08,302838.08,paid,1
133,8,2024-12-13,2024-12-13,302838.08,302838.08,paid,0
134,8,2024-12-20,2024-12-20,302838.08,302838.08,paid,0
135,8,2024-12-27,2024-12-27,302838.08,302838.08,paid,0
136,8,2025-01-03,2025-01-03,302838.08,302838.08,paid,0
137,8,2025-01-10,2025-01-10,302838.08,302838.08,paid,0
138,8,2025-01-17,2025-01-17,302838.08,302838.08,paid,0
139,8,2025-01-24,2025-01-24,302838.08,302838.08,paid,0
140,8,2025-01-31,2025-01-31,302838.08,302838.08,paid,0
141,8,2025-02-07,2025-02-07,302838.08,302838.08,paid,0
142,8,2025-02-14,2025-02-14,302838.08,302838.08,paid,0
143,8,2025-02-21,2025-02-21,302838.08,302838.08,paid,0
144,8,2025-02-28,2025-02-28,302838.08,302838.08,paid,0
145,8,2025-03-07,2025-03-07,302838.08,302838.08,paid,0
146,8,2025-03-14,2025-03-14,302838.08,302838.08,paid,0
147,8,2025-03-21,2025-03-21,302838.08,302838.08,paid,0
148,8,2025-03-28,2025-03-31,302838.08,302838.08,paid,3
149,9,2025-06-23,2025-06-23,156374.55,156374.55,paid,0
150,9,2025-06-30,2025-06-30,156374.55,156374.55,paid,0
151,9,2025-07-07,2025-07-07,156374.55,156374.55,paid,0
152,9,2025-07-14,2025-07-14,156374.55,156374.55,paid,0
153,9,2025-07-21,2025-07-21,156374.55,156374.55,paid,0
154,9,2025-07-28,2025-07-28,156374.55,156374.55,paid,0
155,9,2025-08-04,2025-08-04,156374.55,156374.55,paid,0
156,9,2025-08-11,2025-08-11,156374.55,156374.55,paid,0
157,9,2025-08-18,2025-08-18,156374.55,156374.55,paid,0
158,9,2025-08-25,2025-08-25,156374.55,156374.55,paid,0
159,9,2025-09-01,2025-09-01,156374.55,156374.55,paid,0
160,9,2025-09-08,2025-09-08,156374.55,156374.55,paid,0
161,9,2025-09-15,2025-09-15,156374.55,156374.55,paid,0
162,9,2025-09-22,2025-09-22,156374.55,156374.55,paid,0
163,9,2025-09-29,2025-09-29,156374.55,156374.55,paid,0
164,9,2025-10-06,2025-10-06,156374.55,156374.55,paid,0
165,9,2025-10-13,2025-10-13,156374.55,156374.55,paid,0
166,9,2025-10-20,2025-10-20,156374.55,156374.55,paid,0
167,9,2025-10-27,2025-10-27,156374.55,156374.55,paid,0
168,9,2025-11-03,2025-11-03,156374.55,156374.55,paid,0
169,10,2025-09-13,2025-09-13,493146.25,493146.25,paid,0
170,10,2025-09-20,2025-09-20,493146.25,493146.25,paid,0
171,10,2025-09-27,2025-09-27,493146.25,493146.25,paid,0
172,10,2025-10-04,2025-10-04,493146.25,493146.25,paid,0
173,10,2025-10-11,2025-10-11,493146.25,493146.25,paid,0
174,10,2025-10-18,2025-10-18,493146.25,493146.25,paid,0
175,10,2025-10-25,2025-10-25,493146.25,493146.25,paid,0
176,10,2025-11-01,2025-11-01,493146.25,493146.25,paid,0
177,10,2025-11-08,2025-11-08,493146.25,493146.25,paid,0
178,10,2025-11-15,2025-11-15,493146.25,493146.25,paid,0
179,11,2025-09-13,2025-09-13,383742.5,383742.5,paid,0
180,11,2025-09-20,2025-09-20,383742.5,383742.5,paid,0
181,11,2025-09-27,2025-09-27,383742.5,383742.5,paid,0
182,11,2025-10-04,2025-10-04,383742.5,383742.5,paid,0
183,11,2025-10-11,2025-10-13,383742.5,383742.5,paid,2
184,11,2025-10-18,2025-10-18,383742.5,383742.5,paid,0
185,11,2025-10-25,2025-10-25,383742.5,383742.5,paid,0
186,11,2025-11-01,2025-11-01,383742.5,383742.5,paid,0
187,11,2025-11-08,2025-11-08,383742.5,383742.5,paid,0
188,11,2025-11-15,2025-11-15,383742.5,383742.5,paid,0
189,12,2024-01-25,2024-01-25,247761.12,247761.12,paid,0
190,12,2024-02-01,2024-02-01,247761.12,247761.12,paid,0
191,12,2024-02-08,2024-02-08,247761.12,247761.12,paid,0
192,12,2024-02-15,2024-02-15,247761.12,247761.12,paid,0
193,12,2024-02-22,2024-02-22,247761.12,247761.12,paid,0
194,12,2024-02-29,2024-02-29,247761.12,247761.12,paid,0
195,12,2024-03-07,2024-03-09,247761.12,247761.12,paid,2
196,12,2024-03-14,2024-03-14,247761.12,247761.12,paid,0
197,12,2024-03-21,2024-03-21,247761.12,247761.12,paid,0
198,12,2024-03-28,2024-03-28,247761.12,247761.12,paid,0
199,12,2024-04-04,2024-04-04,247761.12,247761.12,paid,0
200,12,2024-04-11,2024-04-11,247761.12,247761.12,paid,0
201,12,2024-04-18,2024-04-18,247761.12,247761.12,paid,0
202,12,2024-04-25,2024-04-25,247761.12,247761.12,paid,0
203,12,2024-05-02,2024-05-02,247761.12,247761.12,paid,0
204,12,2024-05-09,2024-05-12,247761.12,247761.12,paid,3
205,13,2024-06-06,2024-06-06,454421.88,454421.88,paid,0
206,13,2024-06-13,2024-06-13,454421.88,454421.88,paid,0
207,13,2024-06-20,2024-06-20,454421.88,454421.88,paid,0
208,13,2024-06-27,2024-06-27,454421.88,454421.88,paid,0
209,13,2024-07-04,2024-07-04,454421.88,454421.88,paid,0
210,13,2024-07-11,2024-07-11,454421.88,454421.88,paid,0
211,13,2024-07-18,2024-07-18,454421.88,454421.88,paid,0
212,13,2024-07-25,2024-07-25,454421.88,454421.88,paid,0
213,13,2024-08-01,2024-08-01,454421.88,454421.88,paid,0
214,13,2024-08-08,2024-08-08,454421.88,454421.88,paid,0
215,13,2024-08-15,2024-08-15,454421.88,454421.88,paid,0
216,13,2024-08-22,2024-08-22,454421.88,454421.88,paid,0
217,13,2024-08-29,2024-08-29,454421.88,454421.88,paid,0
218,13,2024-09-05,2024-09-05,454421.88,454421.88,paid,0
219,13,2024-09-12,2024-09-12,454421.88,454421.88,paid,0
220,13,2024-09-19,2024-09-19,454421.88,454421.88,paid,0
221,13,2024-09-26,2024-09-26,454421.88,454421.88,paid,0
222,13,2024-10-03,2024-10-03,454421.88,454421.88,paid,0
223,13,2024-10-10,2024-10-10,454421.88,454421.88,paid,0
224,13,2024-10-17,2024-10-17,454421.88,454421.88,paid,0
225,13,2024-10-24,2024-10-24,454421.88,454421.88,paid,0
226,13,2024-10-31,2024-10-31,454421.88,454421.88,paid,0
227,13,2024-11-07,2024-11-07,454421.88,454421.88,paid,0
228,13,2024-11-14,2024-11-14,454421.88,454421.88,paid,0
229,14,2024-01-18,2024-01-18,186567.69,186567.69,paid,0
230,14,2024-01-25,2024-01-25,186567.69,186567.69,paid,0
231,14,2024-02-01,2024-02-01,186567.69,186567.69,paid,0
232,14,2024-02-08,2024-02-08,186567.69,186567.69,paid,0
233,14,2024-02-15,2024-02-15,186567.69,186567.69,paid,0
234,14,2024-02-22,2024-02-22,186567.69,186567.69,paid,0
235,14,2024-02-29,2024-02-29,186567.69,186567.69,paid,0
236,14,2024-03-07,2024-03-07,186567.69,186567.69,paid,0
237,14,2024-03-14,2024-03-14,186567.69,186567.69,paid,0
238,14,2024-03-21,2024-03-21,186567.69,186567.69,paid,0
239,14,2024-03-28,2024-03-28,186567.69,186567.69,paid,0
240,14,2024-04-04,2024-04-04,186567.69,186567.69,paid,0
241,14,2024-04-11,2024-04-11,186567.69,186567.69,paid,0
242,14,2024-04-18,2024-04-18,186567.69,186567.69,paid,0
243,14,2024-04-25,2024-04-25,186567.69,186567.69,paid,0
244,14,2024-05-02,2024-05-02,186567.69,186567.69,paid,0
245,15,2024-01-29,2024-01-29,261998.96,261998.96,paid,0
246,15,2024-02-05,2024-02-05,261998.96,261998.96,paid,0
247,15,2024-02-12,2024-02-12,261998.96,261998.96,paid,0
248,15,2024-02-19,2024-02-19,261998.96,261998.96,paid,0
249,15,2024-02-26,2024-02-26,261998.96,261998.96,paid,0
250,15,2024-03-04,2024-03-04,261998.96,261998.96,paid,0
251,15,2024-03-11,2024-03-11,261998.96,261998.96,paid,0
252,15,2024-03-18,2024-03-18,261998.96,261998.96,paid,0
253,15,2024-03-25,2024-03-25,261998.96,261998.96,paid,0
254,15,2024-04-01,2024-04-01,261998.96,261998.96,paid,0
255,15,2024-04-08,2024-04-08,261998.96,261998.96,paid,0
256,15,2024-04-15,2024-04-15,261998.96,261998.96,paid,0
257,15,2024-04-22,2024-04-22,261998.96,261998.96,paid,0
258,15,2024-04-29,2024-04-29,261998.96,261998.96,paid,0
259,15,2024-05-06,2024-05-06,261998.96,261998.96,paid,0
260,15,2024-05-13,2024-05-13,261998.96,261998.96,paid,0
261,15,2024-05-20,2024-05-20,261998.96,261998.96,paid,0
262,15,2024-05-27,2024-05-27,261998.96,261998.96,paid,0
263,15,2024-06-03,2024-06-03,261998.96,261998.96,paid,0
264,15,2024-06-10,2024-06-10,261998.96,261998.96,paid,0
265,15,2024-06-17,2024-06-17,261998.96,261998.96,paid,0
266,15,2024-06-24,2024-06-24,261998.96,261998.96,paid,0
267,15,2024-07-01,2024-07-01,261998.96,261998.96,paid,0
268,15,2024-07-08,2024-07-08,261998.96,261998.96,paid,0
269,16,2024-01-22,2024-01-22,113523.38,113523.38,paid,0
270,16,2024-01-29,2024-01-29,113523.38,113523.38,paid,0
271,16,2024-02-05,2024-02-05,113523.38,113523.38,paid,0
272,16,2024-02-12,2024-02-12,113523.38,113523.38,paid,0
273,16,2024-02-19,2024-02-19,113523.38,113523.38,paid,0
274,16,2024-02-26,2024-02-26,113523.38,113523.38,paid,0
275,16,2024-03-04,2024-03-04,113523.38,113523.38,paid,0
276,16,2024-03-11,2024-03-11,113523.38,113523.38,paid,0
277,16,2024-03-18,2024-03-18,113523.38,113523.38,paid,0
278,16,2024-03-25,2024-03-25,113523.38,113523.38,paid,0
279,16,2024-04-01,2024-04-01,113523.38,113523.38,paid,0
280,16,2024-04-08,2024-04-08,113523.38,113523.38,paid,0
281,16,2024-04-15,2024-04-15,113523.38,113523.38,paid,0
282,16,2024-04-22,2024-04-24,113523.38,113523.38,paid,2
283,16,2024-04-29,2024-04-29,113523.38,113523.38,paid,0
284,16,2024-05-06,2024-05-06,113523.38,113523.38,paid,0
285,16,2024-05-13,2024-05-13,113523.38,113523.38,paid,0
286,16,2024-05-20,2024-05-20,113523.38,113523.38,paid,0
287,16,2024-05-27,2024-05-27,113523.38,113523.38,paid,0
288,16,2024-06-03,2024-06-03,113523.38,113523.38,paid,0
289,16,2024-06-10,2024-06-10,113523.38,113523.38,paid,0
290,16,2024-06-17,2024-06-17,113523.38,113523.38,paid,0
291,16,2024-06-24,2024-06-24,113523.38,113523.38,paid,0
292,16,2024-07-01,2024-07-01,113523.38,113523.38,paid,0
293,17,2025-05-27,2025-05-27,566726.2,566726.2,paid,0
294,17,2025-06-03,2025-06-03,566726.2,566726.2,paid,0
295,17,2025-06-10,2025-06-10,566726.2,566726.2,paid,0
296,17,2025-06-17,2025-06-17,566726.2,566726.2,paid,0
297,17,2025-06-24,2025-06-24,566726.2,566726.2,paid,0
298,17,2025-07-01,2025-07-01,566726.2,566726.2,paid,0
299,17,2025-07-08,2025-07-08,566726.2,566726.2,paid,0
300,17,2025-07-15,2025-07-15,566726.2,566726.2,paid,0
301,17,2025-07-22,2025-07-22,566726.2,566726.2,paid,0
302,17,2025-07-29,2025-07-29,566726.2,566726.2,paid,0
303,17,2025-08-05,2025-08-05,566726.2,566726.2,paid,0
304,17,2025-08-12,2025-08-12,566726.2,566726.2,paid,0
305,17,2025-08-19,2025-08-19,566726.2,566726.2,paid,0
306,17,2025-08-26,2025-08-26,566726.2,566726.2,paid,0
307,17,2025-09-02,2025-09-02,566726.2,566726.2,paid,0
308,17,2025-09-09,2025-09-09,566726.2,566726.2,paid,0
309,17,2025-09-16,2025-09-16,566726.2,566726.2,paid,0
310,17,2025-09-23,2025-09-23,566726.2,566726.2,paid,0
311,17,2025-09-30,2025-09-30,566726.2,566726.2,paid,0
312,17,2025-10-07,2025-10-07,566726.2,566726.2,paid,0
313,18,2025-10-06,2025-10-06,134473.62,134473.62,paid,0
314,18,2025-10-13,2025-10-13,134473.62,134473.62,paid,0
315,18,2025-10-20,2025-10-20,134473.62,134473.62,paid,0
316,18,2025-10-27,2025-10-27,134473.62,134473.62,paid,0
317,18,2025-11-03,2025-11-03,134473.62,134473.62,paid,0
318,18,2025-11-10,2025-11-10,134473.62,134473.62,paid,0
319,18,2025-11-17,2025-11-17,134473.62,134473.62,paid,0
320,19,2025-09-18,2025-09-18,594171.9,594171.9,paid,0
321,19,2025-09-25,2025-09-27,594171.9,594171.9,paid,2
322,19,2025-10-02,2025-10-02,594171.9,594171.9,paid,0
323,19,2025-10-09,2025-10-09,594171.9,594171.9,paid,0
324,19,2025-10-16,2025-10-16,594171.9,594171.9,paid,0
325,19,2025-10-23,2025-10-23,594171.9,594171.9,paid,0
326,19,2025-10-30,2025-10-30,594171.9,594171.9,paid,0
327,19,2025-11-06,2025-11-06,594171.9,594171.9,paid,0
328,19,2025-11-13,2025-11-13,594171.9,594171.9,paid,0
329,19,2025-11-20,2025-11-20,594171.9,594171.9,paid,0
330,20,2025-04-16,2025-04-16,393098.42,393098.42,paid,0
331,20,2025-04-23,2025-04-23,393098.42,393098.42,paid,0
332,20,2025-04-30,2025-04-30,393098.42,393098.42,paid,0
333,20,2025-05-07,2025-05-07,393098.42,393098.42,paid,0
334,20,2025-05-14,2025-05-14,393098.42,393098.42,paid,0
335,20,2025-05-21,2025-05-21,393098.42,393098.42,paid,0
336,20,2025-05-28,2025-05-28,393098.42,393098.42,paid,0
337,20,2025-06-04,2025-06-04,393098.42,393098.42,paid,0
338,20,2025-06-11,2025-06-11,393098.42,393098.42,paid,0
339,20,2025-06-18,2025-06-18,393098.42,393098.42,paid,0
340,20,2025-06-25,2025-06-25,393098.42,393098.42,paid,0
341,20,2025-07-02,2025-07-02,393098.42,393098.42,paid,0
342,20,2025-07-09,2025-07-09,393098.42,393098.42,paid,0
343,20,2025-07-16,2025-07-16,393098.42,393098.42,paid,0
344,20,2025-07-23,2025-07-23,393098.42,393098.42,paid,0
345,20,2025-07-30,2025-07-30,393098.42,393098.42,paid,0
346,20,2025-08-06,2025-08-06,393098.42,393098.42,paid,0
347,20,2025-08-13,2025-08-13,393098.42,393098.42,paid,0
348,20,2025-08-20,2025-08-20,393098.42,393098.42,paid,0
349,20,2025-08-27,2025-08-27,393098.42,393098.42,paid,0
350,20,2025-09-03,2025-09-03,393098.42,393098.42,paid,0
351,20,2025-09-10,2025-09-10,393098.42,393098.42,paid,0
352,20,2025-09-17,2025-09-17,393098.42,393098.42,paid,0
353,20,2025-09-24,2025-09-24,393098.42,393098.42,paid,0
354,21,2024-03-18,2024-03-18,351929.25,351929.25,paid,0
355,21,2024-03-25,2024-03-25,351929.25,351929.25,paid,0
356,21,2024-04-01,2024-04-01,351929.25,351929.25,paid,0
357,21,2024-04-08,2024-04-08,351929.25,351929.25,paid,0
358,21,2024-04-15,2024-04-15,351929.25,351929.25,paid,0
359,21,2024-04-22,2024-04-22,351929.25,351929.25,paid,0
360,21,2024-04-29,2024-04-29,351929.25,351929.25,paid,0
361,21,2024-05-06,2024-05-06,351929.25,351929.25,paid,0
362,21,2024-05-13,2024-05-13,351929.25,351929.25,paid,0
363,21,2024-05-20,2024-05-20,351929.25,351929.25,paid,0
364,21,2024-05-27,2024-05-27,351929.25,351929.25,paid,0
365,21,2024-06-03,2024-06-03,351929.25,351929.25,paid,0
366,21,2024-06-10,2024-06-10,351929.25,351929.25,paid,0
367,21,2024-06-17,2024-06-17,351929.25,351929.25,paid,0
368,21,2024-06-24,2024-06-24,351929.25,351929.25,paid,0
369,21,2024-07-01,2024-07-01,351929.25,351929.25,paid,0
370,21,2024-07-08,2024-07-08,351929.25,351929.25,paid,0
371,21,2024-07-15,2024-07-15,351929.25,351929.25,paid,0
372,21,2024-07-22,2024-07-22,351929.25,351929.25,paid,0
373,21,2024-07-29,2024-07-29,351929.25,351929.25,paid,0
374,21,2024-08-05,2024-08-05,351929.25,351929.25,paid,0
375,21,2024-08-12,2024-08-12,351929.25,351929.25,paid,0
376,21,2024-08-19,2024-08-19,351929.25,351929.25,paid,0
377,21,2024-08-26,2024-08-26,351929.25,351929.25,paid,0
378,22,2024-10-25,2024-10-25,409364.9,409364.9,paid,0
379,22,2024-11-01,2024-11-01,409364.9,409364.9,paid,0
380,22,2024-11-08,2024-11-08,409364.9,409364.9,paid,0
381,22,2024-11-15,2024-11-15,409364.9,409364.9,paid,0
382,22,2024-11-22,2024-11-22,409364.9,409364.9,paid,0
383,22,2024-11-29,2024-11-29,409364.9,409364.9,paid,0
384,22,2024-12-06,2024-12-06,409364.9,409364.9,paid,0
385,22,2024-12-13,2024-12-13,409364.9,409364.9,paid,0
386,22,2024-12-20,2024-12-20,409364.9,409364.9,paid,0
387,22,2024-12-27,2024-12-27,409364.9,409364.9,paid,0
388,22,2025-01-03,2025-01-03,409364.9,409364.9,paid,0
389,22,2025-01-10,2025-01-10,409364.9,409364.9,paid,0
390,22,2025-01-17,2025-01-17,409364.9,409364.9,paid,0
391,22,2025-01-24,2025-01-24,409364.9,409364.9,paid,0
392,22,2025-01-31,2025-01-31,409364.9,409364.9,paid,0
393,22,2025-02-07,2025-02-07,409364.9,409364.9,paid,0
394,22,2025-02-14,2025-02-16,409364.9,409364.9,paid,2
395,22,2025-02-21,2025-02-21,409364.9,409364.9,paid,0
396,22,2025-02-28,2025-03-01,409364.9,409364.9,paid,1
397,22,2025-03-07,2025-03-07,409364.9,409364.9,paid,0
398,23,2025-02-08,2025-02-08,170642.67,170642.67,paid,0
399,23,2025-02-15,2025-02-15,170642.67,170642.67,paid,0
400,23,2025-02-22,2025-02-22,170642.67,170642.67,paid,0
401,23,2025-03-01,2025-03-01,170642.67,170642.67,paid,0
402,23,2025-03-08,2025-03-08,170642.67,170642.67,paid,0
403,23,2025-03-15,2025-03-15,170642.67,170642.67,paid,0
404,23,2025-03-22,2025-03-22,170642.67,170642.67,paid,0
405,23,2025-03-29,2025-03-29,170642.67,170642.67,paid,0
406,23,2025-04-05,2025-04-05,170642.67,170642.67,paid,0
407,23,2025-04-12,2025-04-12,170642.67,170642.67,paid,0
408,23,2025-04-19,2025-04-20,170642.67,170642.67,paid,1
409,23,2025-04-26,2025-04-26,170642.67,170642.67,paid,0
410,23,2025-05-03,2025-05-03,170642.67,170642.67,paid,0
411,23,2025-05-10,2025-05-10,170642.67,170642.67,paid,0
412,23,2025-05-17,2025-05-17,170642.67,170642.67,paid,0
413,23,2025-05-24,2025-05-24,170642.67,170642.67,paid,0
414,23,2025-05-31,2025-05-31,170642.67,170642.67,paid,0
415,23,2025-06-07,2025-06-07,170642.67,170642.67,paid,0
416,23,2025-06-14,2025-06-14,170642.67,170642.67,paid,0
417,23,2025-06-21,2025-06-21,170642.67,170642.67,paid,0
418,23,2025-06-28,2025-06-30,170642.67,170642.67,paid,2
419,23,2025-07-05,2025-07-05,170642.67,170642.67,paid,0
420,23,2025-07-12,2025-07-12,170642.67,170642.67,paid,0
421,23,2025-07-19,2025-07-19,170642.67,170642.67,paid,0
